ID;RS_ID;time;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; throttleP; throttleI; throttleD; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
174918;174928;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;-1; -1; -1; -1; -1; 39692; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174919;174929;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;-1; -1; -1; -1; -1; 39693; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174920;174930;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;819.692; 114.308; 18.4718; -1; -1; 0; 1; 1; -1.05871; -0.429501; -1.1248;-1.05871; -0.429501; -1.1248;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174921;174931;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;791.429; 121.143; 18.3989; 819.692; 114.308; 0; 2; 1; -0.986218; -0.446068; -1.11817;-1.03696; -0.434471; -1.12281;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174922;174932;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;791.429; 121.143; 18.3989; 817.123; 114.929; 1; 0; 1; -0.986218; -0.446068; -1.11817;-1.03696; -0.434471; -1.12281;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174923;174933;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;751.6; 130.2; 18.495; 817.123; 114.929; 0; 1; 1; -0.873595; -0.463348; -1.09775;-0.987953; -0.443134; -1.11529;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174924;174934;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;722; 137; 18.4141; 803.498; 118.105; 0; 2; 1; -0.797189; -0.480161; -1.09155;-0.930724; -0.454242; -1.10817;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174925;174935;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;705.176; 142.471; 18.2879; 784.108; 122.6; 0; 3; 1; -0.756768; -0.495445; -1.09016;-0.878537; -0.466603; -1.10277;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174926;174936;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;686.571; 144.857; 18.3207; 763.836; 127.701; 0; 4; 1; -0.704718; -0.49977; -1.08431;-0.826391; -0.476553; -1.09723;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174927;174937;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;686.571; 144.857; 18.3207; 743.013; 132.33; 1; 0; 1; -0.704718; -0.49977; -1.08431;-0.826391; -0.476553; -1.09723;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174928;174938;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;647.333; 153.333; 17.6382; 742.586; 132.43; 0; 1; 1; -0.620937; -0.538341; -1.11193;-0.764755; -0.49509; -1.10164;0; 0; 0;0; 0; 0;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174929;174939;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;620.75; 159.25; 17.7764; 715.718; 138.333; 0; 2; 1; -0.541459; -0.547475; -1.09336;-0.697766; -0.510805; -1.09916;2.33668; -0.52332; 0.174915;6.99894; -1.56747; 0.523914;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174930;174940;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;593; 165; 17.4184; 688.249; 144.388; 0; 3; 1; -0.473057; -0.571937; -1.10598;-0.630354; -0.529145; -1.1012;2.62516; -0.608187; 0.153146;13.1786; -3.02076; 0.83818;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174931;174941;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;593; 165; 17.4184; 660.046; 150.502; 1; 0; 1; -0.473057; -0.571937; -1.10598;-0.630354; -0.529145; -1.1012;2.62516; -0.608187; 0.153146;13.1786; -3.02076; 0.83818;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174932;174942;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;564.4; 168.4; 17.7153; 658.454; 150.856; 0; 1; 1; -0.384538; -0.570032; -1.08171;-0.556609; -0.541411; -1.09536;2.69978; -0.626962; 0.130411;16.0233; -3.69726; 0.894956;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174933;174943;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;542.6; 168.8; 17.8385; 629.658; 156.286; 0; 2; 1; -0.320876; -0.566992; -1.07357;-0.485889; -0.549085; -1.08882;2.79594; -0.623231; 0.120016;17.9885; -4.08508; 0.896452;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174934;174944;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;516.8; 168.4; 17.8577; 602.159; 160.388; 0; 3; 1; -0.248409; -0.565485; -1.07309;-0.414645; -0.554005; -1.0841;2.91085; -0.605926; 0.111339;19.5118; -4.26595; 0.871358;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174935;174945;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;492; 167; 17.5827; 574.324; 163.294; 0; 4; 1; -0.181884; -0.571143; -1.09224;-0.344817; -0.559147; -1.08654;3.1799; -0.582204; 0.118337;22.5612; -4.54683; 0.926737;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174936;174946;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;485; 167; 17.6051; 546.746; 164.974; 0; 5; 1; -0.161803; -0.570416; -1.09085;-0.289913; -0.562527; -1.08784;3.30299; -0.526236; 0.10972;16.8419; -2.73807; 0.333044;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174937;174947;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;464; 166; 18.1105; 524.475; 166.199; 0; 6; 1; -0.099404; -0.552289; -1.06206;-0.23276; -0.559456; -1.0801;3.34459; -0.419637; 0.138148;12.5711; -0.996564; 0.148416;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174938;174948;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;431; 164; 17.6031; 501.91; 166.788; 0; 7; 1; -0.00868641; -0.563661; -1.09606;-0.165538; -0.560717; -1.08489;3.56571; -0.328745; 0.124599;10.9946; 0.590866; 0.0658811;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174939;174949;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;424; 163; 17.7712; 475.657; 166.587; 0; 8; 1; 0.0110589; -0.556079; -1.08738;-0.112559; -0.559326; -1.08564;3.63129; -0.238171; 0.0874764;9.93486; 1.89326; -0.0905035;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174940;174950;2019/05/25 18:49:18;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;397.429; 162.857; 17.523; 454.57; 166.107; 0; 9; 1; 0.0869123; -0.563628; -1.10302;-0.0527175; -0.560617; -1.09085;3.62861; -0.169387; 0.0254339;8.83617; 2.88468; -0.398425;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174941;174951;2019/05/25 18:49:19;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;372.333; 164.667; 17.5561; 430.996; 165.717; 0; 10; 1; 0.158106; -0.566691; -1.09787;0.0105294; -0.562439; -1.09296;3.60063; -0.114821; -0.010434;6.98711; 3.60308; -0.754894;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174942;174952;2019/05/25 18:49:19;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;372.333; 164.667; 17.5561; 406.491; 165.944; 1; 0; 1; 0.158106; -0.566691; -1.09787;0.0105294; -0.562439; -1.09296;3.60063; -0.114821; -0.010434;6.98711; 3.60308; -0.754894;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174943;174953;2019/05/25 18:49:19;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;335.556; 168.889; 17.5554; 399.181; 166.488; 0; 1; 1; 0.262691; -0.576338; -1.09073;0.086178; -0.566609; -1.09229;3.44678; -0.082853; -0.0214956;4.68412; 3.67842; -0.901753;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174944;174954;2019/05/25 18:49:19;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;315.636; 172.727; 17.8426; 372.413; 167.763; 0; 2; 1; 0.314192; -0.575669; -1.06676;0.154582; -0.569327; -1.08463;3.39296; -0.083475; -0.0283788;2.97592; 3.35688; -1.11065;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
174945;174955;2019/05/25 18:49:19;-1; -1; -1; -1; -1; 100; 0; 0; 0; 0; 0;0; 0; 0;0; 0; 0;0; 0; 0;304; 173.5; 17.8639; 347.139; 169.847; 0; 3; 1; 0.346334; -0.576713; -1.06419;0.212108; -0.571543; -1.0785;3.33291; -0.0872679; 0.00493205;0.985951; 2.84355; -1.07742;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 200; 228; 1024; 1024; 1024; 228; 1024; 1024; 1024; 1; 4; 0; 1900; 50; 35; 0; 0; 0; 0; 0; 0; 0; 
